X	Y	Z	Vx	Vy	Vz
0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
3.0303E-02	0.0000E+00	0.0000E+00	-2.6286E-13	0.0000E+00	0.0000E+00
6.0606E-02	0.0000E+00	0.0000E+00	-5.1294E-13	0.0000E+00	0.0000E+00
9.0909E-02	0.0000E+00	0.0000E+00	-7.3733E-13	0.0000E+00	0.0000E+00
1.2121E-01	0.0000E+00	0.0000E+00	-9.2441E-13	0.0000E+00	0.0000E+00
1.5152E-01	0.0000E+00	0.0000E+00	-1.0655E-12	0.0000E+00	0.0000E+00
1.8182E-01	0.0000E+00	0.0000E+00	-1.1584E-12	0.0000E+00	0.0000E+00
2.1212E-01	0.0000E+00	0.0000E+00	-1.2029E-12	0.0000E+00	0.0000E+00
2.4242E-01	0.0000E+00	0.0000E+00	-1.2008E-12	0.0000E+00	0.0000E+00
2.7273E-01	0.0000E+00	0.0000E+00	-1.1558E-12	0.0000E+00	0.0000E+00
3.0303E-01	0.0000E+00	0.0000E+00	-1.0750E-12	0.0000E+00	0.0000E+00
3.3333E-01	0.0000E+00	0.0000E+00	-9.6760E-13	0.0000E+00	0.0000E+00
3.6364E-01	0.0000E+00	0.0000E+00	-8.4308E-13	0.0000E+00	0.0000E+00
3.9394E-01	0.0000E+00	0.0000E+00	-7.0989E-13	0.0000E+00	0.0000E+00
4.2424E-01	0.0000E+00	0.0000E+00	-5.7553E-13	0.0000E+00	0.0000E+00
4.5455E-01	0.0000E+00	0.0000E+00	-4.4752E-13	0.0000E+00	0.0000E+00
4.8485E-01	0.0000E+00	0.0000E+00	-3.3195E-13	0.0000E+00	0.0000E+00
5.1515E-01	0.0000E+00	0.0000E+00	-2.3181E-13	0.0000E+00	0.0000E+00
5.4545E-01	0.0000E+00	0.0000E+00	-1.4612E-13	0.0000E+00	0.0000E+00
5.7576E-01	0.0000E+00	0.0000E+00	-7.0638E-14	0.0000E+00	0.0000E+00
6.0606E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
0.0000E+00	3.0303E-02	0.0000E+00	0.0000E+00	-2.6286E-13	0.0000E+00
6.0606E-02	3.0303E-02	0.0000E+00	-5.1311E-13	-2.6321E-13	0.0000E+00
1.2121E-01	3.0303E-02	0.0000E+00	-9.2469E-13	-2.6419E-13	0.0000E+00
1.8182E-01	3.0303E-02	0.0000E+00	-1.1587E-12	-2.6549E-13	0.0000E+00
2.4242E-01	3.0303E-02	0.0000E+00	-1.2010E-12	-2.6675E-13	0.0000E+00
3.0303E-01	3.0303E-02	0.0000E+00	-1.0751E-12	-2.6768E-13	0.0000E+00
3.6364E-01	3.0303E-02	0.0000E+00	-8.4309E-13	-2.6810E-13	0.0000E+00
4.2424E-01	3.0303E-02	0.0000E+00	-5.7543E-13	-2.6803E-13	0.0000E+00
4.8485E-01	3.0303E-02	0.0000E+00	-3.3182E-13	-2.6761E-13	0.0000E+00
5.4545E-01	3.0303E-02	0.0000E+00	-1.4603E-13	-2.6715E-13	0.0000E+00
6.0606E-01	3.0303E-02	0.0000E+00	0.0000E+00	-2.6697E-13	0.0000E+00
0.0000E+00	6.0606E-02	0.0000E+00	0.0000E+00	-5.1294E-13	0.0000E+00
3.0303E-02	6.0606E-02	0.0000E+00	-2.6321E-13	-5.1311E-13	0.0000E+00
6.0606E-02	6.0606E-02	0.0000E+00	-5.1364E-13	-5.1364E-13	0.0000E+00
9.0909E-02	6.0606E-02	0.0000E+00	-7.3831E-13	-5.1448E-13	0.0000E+00
1.2121E-01	6.0606E-02	0.0000E+00	-9.2559E-13	-5.1557E-13	0.0000E+00
1.5152E-01	6.0606E-02	0.0000E+00	-1.0668E-12	-5.1680E-13	0.0000E+00
1.8182E-01	6.0606E-02	0.0000E+00	-1.1597E-12	-5.1811E-13	0.0000E+00
2.1212E-01	6.0606E-02	0.0000E+00	-1.2041E-12	-5.1940E-13	0.0000E+00
2.4242E-01	6.0606E-02	0.0000E+00	-1.2018E-12	-5.2058E-13	0.0000E+00
2.7273E-01	6.0606E-02	0.0000E+00	-1.1566E-12	-5.2161E-13	0.0000E+00
3.0303E-01	6.0606E-02	0.0000E+00	-1.0755E-12	-5.2242E-13	0.0000E+00
3.3333E-01	6.0606E-02	0.0000E+00	-9.6788E-13	-5.2297E-13	0.0000E+00
3.6364E-01	6.0606E-02	0.0000E+00	-8.4311E-13	-5.2324E-13	0.0000E+00
3.9394E-01	6.0606E-02	0.0000E+00	-7.0968E-13	-5.2328E-13	0.0000E+00
4.2424E-01	6.0606E-02	0.0000E+00	-5.7513E-13	-5.2310E-13	0.0000E+00
4.5455E-01	6.0606E-02	0.0000E+00	-4.4698E-13	-5.2273E-13	0.0000E+00
4.8485E-01	6.0606E-02	0.0000E+00	-3.3137E-13	-5.2225E-13	0.0000E+00
5.1515E-01	6.0606E-02	0.0000E+00	-2.3128E-13	-5.2175E-13	0.0000E+00
5.4545E-01	6.0606E-02	0.0000E+00	-1.4573E-13	-5.2133E-13	0.0000E+00
5.7576E-01	6.0606E-02	0.0000E+00	-7.0437E-14	-5.2107E-13	0.0000E+00
6.0606E-01	6.0606E-02	0.0000E+00	0.0000E+00	-5.2098E-13	0.0000E+00
0.0000E+00	9.0909E-02	0.0000E+00	0.0000E+00	-7.3733E-13	0.0000E+00
6.0606E-02	9.0909E-02	0.0000E+00	-5.1448E-13	-7.3831E-13	0.0000E+00
1.2121E-01	9.0909E-02	0.0000E+00	-9.2704E-13	-7.4109E-13	0.0000E+00
