X	Y	Z	Vx	Vy	Vz
0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
3.0303E-02	0.0000E+00	0.0000E+00	-2.5012E-13	0.0000E+00	0.0000E+00
6.0606E-02	0.0000E+00	0.0000E+00	-4.8662E-13	0.0000E+00	0.0000E+00
9.0909E-02	0.0000E+00	0.0000E+00	-6.9698E-13	0.0000E+00	0.0000E+00
1.2121E-01	0.0000E+00	0.0000E+00	-8.7227E-13	0.0000E+00	0.0000E+00
1.5152E-01	0.0000E+00	0.0000E+00	-1.0058E-12	0.0000E+00	0.0000E+00
1.8182E-01	0.0000E+00	0.0000E+00	-1.0946E-12	0.0000E+00	0.0000E+00
2.1212E-01	0.0000E+00	0.0000E+00	-1.1379E-12	0.0000E+00	0.0000E+00
2.4242E-01	0.0000E+00	0.0000E+00	-1.1382E-12	0.0000E+00	0.0000E+00
2.7273E-01	0.0000E+00	0.0000E+00	-1.0995E-12	0.0000E+00	0.0000E+00
3.0303E-01	0.0000E+00	0.0000E+00	-1.0280E-12	0.0000E+00	0.0000E+00
3.3333E-01	0.0000E+00	0.0000E+00	-9.3106E-13	0.0000E+00	0.0000E+00
3.6364E-01	0.0000E+00	0.0000E+00	-8.1645E-13	0.0000E+00	0.0000E+00
3.9394E-01	0.0000E+00	0.0000E+00	-6.9232E-13	0.0000E+00	0.0000E+00
4.2424E-01	0.0000E+00	0.0000E+00	-5.6613E-13	0.0000E+00	0.0000E+00
4.5455E-01	0.0000E+00	0.0000E+00	-4.4447E-13	0.0000E+00	0.0000E+00
4.8485E-01	0.0000E+00	0.0000E+00	-3.3221E-13	0.0000E+00	0.0000E+00
5.1515E-01	0.0000E+00	0.0000E+00	-2.3239E-13	0.0000E+00	0.0000E+00
5.4545E-01	0.0000E+00	0.0000E+00	-1.4560E-13	0.0000E+00	0.0000E+00
5.7576E-01	0.0000E+00	0.0000E+00	-6.9667E-14	0.0000E+00	0.0000E+00
6.0606E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
0.0000E+00	3.0303E-02	0.0000E+00	0.0000E+00	-2.5012E-13	0.0000E+00
6.0606E-02	3.0303E-02	0.0000E+00	-4.8679E-13	-2.5048E-13	0.0000E+00
1.2121E-01	3.0303E-02	0.0000E+00	-8.7254E-13	-2.5141E-13	0.0000E+00
1.8182E-01	3.0303E-02	0.0000E+00	-1.0949E-12	-2.5262E-13	0.0000E+00
2.4242E-01	3.0303E-02	0.0000E+00	-1.1384E-12	-2.5377E-13	0.0000E+00
3.0303E-01	3.0303E-02	0.0000E+00	-1.0282E-12	-2.5462E-13	0.0000E+00
3.6364E-01	3.0303E-02	0.0000E+00	-8.1645E-13	-2.5503E-13	0.0000E+00
4.2424E-01	3.0303E-02	0.0000E+00	-5.6605E-13	-2.5497E-13	0.0000E+00
4.8485E-01	3.0303E-02	0.0000E+00	-3.3208E-13	-2.5459E-13	0.0000E+00
5.4545E-01	3.0303E-02	0.0000E+00	-1.4550E-13	-2.5414E-13	0.0000E+00
6.0606E-01	3.0303E-02	0.0000E+00	0.0000E+00	-2.5393E-13	0.0000E+00
0.0000E+00	6.0606E-02	0.0000E+00	0.0000E+00	-4.8662E-13	0.0000E+00
3.0303E-02	6.0606E-02	0.0000E+00	-2.5048E-13	-4.8679E-13	0.0000E+00
6.0606E-02	6.0606E-02	0.0000E+00	-4.8729E-13	-4.8729E-13	0.0000E+00
9.0909E-02	6.0606E-02	0.0000E+00	-6.9790E-13	-4.8806E-13	0.0000E+00
1.2121E-01	6.0606E-02	0.0000E+00	-8.7334E-13	-4.8905E-13	0.0000E+00
1.5152E-01	6.0606E-02	0.0000E+00	-1.0069E-12	-4.9015E-13	0.0000E+00
