X	Y	LAB E 225
0.5051	0.2222	163.1454
0.5051	0.2626	166.9749
0.5051	0.3030	169.5189
0.5051	0.3434	170.6873
0.5051	0.3838	170.4384
0.5051	0.4242	168.7812
0.5051	0.4646	165.7744
0.5051	0.5051	161.5249
0.5051	0.5455	156.1833
0.5051	0.5859	149.9395
0.5455	0.0202	125.4209
0.5455	0.0606	132.9236
0.5455	0.1010	140.1600
0.5455	0.1414	146.8732
0.5455	0.1818	152.8249
0.5455	0.2222	157.8039
0.5455	0.2626	161.6333
0.5455	0.3030	164.1774
0.5455	0.3434	165.3457
0.5455	0.3838	165.0969
0.5455	0.4242	163.4397
0.5455	0.4646	160.4329
0.5455	0.5051	156.1833
0.5455	0.5455	150.8418
0.5455	0.5859	144.5979
0.5859	0.0202	119.1770
0.5859	0.0606	126.6797
0.5859	0.1010	133.9161
0.5859	0.1414	140.6293
0.5859	0.1818	146.5810
0.5859	0.2222	151.5600
0.5859	0.2626	155.3895
0.5859	0.3030	157.9335
0.5859	0.3434	159.1019
0.5859	0.3838	158.8530
0.5859	0.4242	157.1958
0.5859	0.4646	154.1890
0.5859	0.5051	149.9395
0.5859	0.5455	144.5979
0.5859	0.5859	138.3540
