X	Y	Z	Vx	Vy	Vz
0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
1.5152E-02	0.0000E+00	0.0000E+00	-1.3222E-13	0.0000E+00	0.0000E+00
3.0303E-02	0.0000E+00	0.0000E+00	-2.6282E-13	0.0000E+00	0.0000E+00
4.5455E-02	0.0000E+00	0.0000E+00	-3.9019E-13	0.0000E+00	0.0000E+00
6.0606E-02	0.0000E+00	0.0000E+00	-5.1275E-13	0.0000E+00	0.0000E+00
7.5758E-02	0.0000E+00	0.0000E+00	-6.2891E-13	0.0000E+00	0.0000E+00
9.0909E-02	0.0000E+00	0.0000E+00	-7.3719E-13	0.0000E+00	0.0000E+00
1.0606E-01	0.0000E+00	0.0000E+00	-8.3613E-13	0.0000E+00	0.0000E+00
1.2121E-01	0.0000E+00	0.0000E+00	-9.2447E-13	0.0000E+00	0.0000E+00
1.3636E-01	0.0000E+00	0.0000E+00	-1.0009E-12	0.0000E+00	0.0000E+00
1.5152E-01	0.0000E+00	0.0000E+00	-1.0653E-12	0.0000E+00	0.0000E+00
1.6667E-01	0.0000E+00	0.0000E+00	-1.1177E-12	0.0000E+00	0.0000E+00
1.8182E-01	0.0000E+00	0.0000E+00	-1.1580E-12	0.0000E+00	0.0000E+00
1.9697E-01	0.0000E+00	0.0000E+00	-1.1862E-12	0.0000E+00	0.0000E+00
2.1212E-01	0.0000E+00	0.0000E+00	-1.2027E-12	0.0000E+00	0.0000E+00
2.2727E-01	0.0000E+00	0.0000E+00	-1.2074E-12	0.0000E+00	0.0000E+00
2.4242E-01	0.0000E+00	0.0000E+00	-1.2007E-12	0.0000E+00	0.0000E+00
2.5758E-01	0.0000E+00	0.0000E+00	-1.1831E-12	0.0000E+00	0.0000E+00
2.7273E-01	0.0000E+00	0.0000E+00	-1.1555E-12	0.0000E+00	0.0000E+00
2.8788E-01	0.0000E+00	0.0000E+00	-1.1189E-12	0.0000E+00	0.0000E+00
3.0303E-01	0.0000E+00	0.0000E+00	-1.0746E-12	0.0000E+00	0.0000E+00
3.1818E-01	0.0000E+00	0.0000E+00	-1.0237E-12	0.0000E+00	0.0000E+00
3.3333E-01	0.0000E+00	0.0000E+00	-9.6732E-13	0.0000E+00	0.0000E+00
3.4848E-01	0.0000E+00	0.0000E+00	-9.0665E-13	0.0000E+00	0.0000E+00
3.6364E-01	0.0000E+00	0.0000E+00	-8.4278E-13	0.0000E+00	0.0000E+00
3.7879E-01	0.0000E+00	0.0000E+00	-7.7678E-13	0.0000E+00	0.0000E+00
3.9394E-01	0.0000E+00	0.0000E+00	-7.0961E-13	0.0000E+00	0.0000E+00
4.0909E-01	0.0000E+00	0.0000E+00	-6.4225E-13	0.0000E+00	0.0000E+00
4.2424E-01	0.0000E+00	0.0000E+00	-5.7551E-13	0.0000E+00	0.0000E+00
4.3939E-01	0.0000E+00	0.0000E+00	-5.1029E-13	0.0000E+00	0.0000E+00
4.5455E-01	0.0000E+00	0.0000E+00	-4.4731E-13	0.0000E+00	0.0000E+00
4.6970E-01	0.0000E+00	0.0000E+00	-3.8750E-13	0.0000E+00	0.0000E+00
4.8485E-01	0.0000E+00	0.0000E+00	-3.3148E-13	0.0000E+00	0.0000E+00
5.0000E-01	0.0000E+00	0.0000E+00	-2.7955E-13	0.0000E+00	0.0000E+00
5.1515E-01	0.0000E+00	0.0000E+00	-2.3167E-13	0.0000E+00	0.0000E+00
5.3030E-01	0.0000E+00	0.0000E+00	-1.8744E-13	0.0000E+00	0.0000E+00
5.4545E-01	0.0000E+00	0.0000E+00	-1.4621E-13	0.0000E+00	0.0000E+00
5.6061E-01	0.0000E+00	0.0000E+00	-1.0746E-13	0.0000E+00	0.0000E+00
5.7576E-01	0.0000E+00	0.0000E+00	-7.0574E-14	0.0000E+00	0.0000E+00
5.9091E-01	0.0000E+00	0.0000E+00	-3.4973E-14	0.0000E+00	0.0000E+00
6.0606E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
0.0000E+00	1.5152E-02	0.0000E+00	0.0000E+00	-1.3222E-13	0.0000E+00
