X	Y	Z	Vx	Vy	Vz
3.4343E-01	4.0404E-02	0.0000E+00	-9.2737E-13	-3.5508E-13	0.0000E+00
3.6364E-01	4.0404E-02	0.0000E+00	-8.4279E-13	-3.5519E-13	0.0000E+00
3.8384E-01	4.0404E-02	0.0000E+00	-7.5441E-13	-3.5523E-13	0.0000E+00
4.0404E-01	4.0404E-02	0.0000E+00	-6.6453E-13	-3.5519E-13	0.0000E+00
4.2424E-01	4.0404E-02	0.0000E+00	-5.7534E-13	-3.5509E-13	0.0000E+00
4.4444E-01	4.0404E-02	0.0000E+00	-4.8870E-13	-3.5494E-13	0.0000E+00
4.6465E-01	4.0404E-02	0.0000E+00	-4.0680E-13	-3.5474E-13	0.0000E+00
4.8485E-01	4.0404E-02	0.0000E+00	-3.3127E-13	-3.5453E-13	0.0000E+00
5.0505E-01	4.0404E-02	0.0000E+00	-2.6292E-13	-3.5430E-13	0.0000E+00
5.2525E-01	4.0404E-02	0.0000E+00	-2.0154E-13	-3.5409E-13	0.0000E+00
5.4545E-01	4.0404E-02	0.0000E+00	-1.4604E-13	-3.5391E-13	0.0000E+00
5.6566E-01	4.0404E-02	0.0000E+00	-9.4862E-14	-3.5378E-13	0.0000E+00
5.8586E-01	4.0404E-02	0.0000E+00	-4.6678E-14	-3.5370E-13	0.0000E+00
6.0606E-01	4.0404E-02	0.0000E+00	0.0000E+00	-3.5367E-13	0.0000E+00
0.0000E+00	6.0606E-02	0.0000E+00	0.0000E+00	-5.1274E-13	0.0000E+00
4.0404E-02	6.0606E-02	0.0000E+00	-3.4867E-13	-5.1305E-13	0.0000E+00
8.0808E-02	6.0606E-02	0.0000E+00	-6.6687E-13	-5.1396E-13	0.0000E+00
1.2121E-01	6.0606E-02	0.0000E+00	-9.2562E-13	-5.1536E-13	0.0000E+00
1.6162E-01	6.0606E-02	0.0000E+00	-1.1028E-12	-5.1703E-13	0.0000E+00
2.0202E-01	6.0606E-02	0.0000E+00	-1.1943E-12	-5.1875E-13	0.0000E+00
2.4242E-01	6.0606E-02	0.0000E+00	-1.2017E-12	-5.2036E-13	0.0000E+00
2.8283E-01	6.0606E-02	0.0000E+00	-1.1328E-12	-5.2168E-13	0.0000E+00
3.2323E-01	6.0606E-02	0.0000E+00	-1.0058E-12	-5.2258E-13	0.0000E+00
3.6364E-01	6.0606E-02	0.0000E+00	-8.4280E-13	-5.2301E-13	0.0000E+00
4.0404E-01	6.0606E-02	0.0000E+00	-6.6438E-13	-5.2301E-13	0.0000E+00
4.4444E-01	6.0606E-02	0.0000E+00	-4.8843E-13	-5.2264E-13	0.0000E+00
4.8485E-01	6.0606E-02	0.0000E+00	-3.3094E-13	-5.2202E-13	0.0000E+00
5.2525E-01	6.0606E-02	0.0000E+00	-2.0127E-13	-5.2138E-13	0.0000E+00
5.6566E-01	6.0606E-02	0.0000E+00	-9.4715E-14	-5.2092E-13	0.0000E+00
6.0606E-01	6.0606E-02	0.0000E+00	0.0000E+00	-5.2076E-13	0.0000E+00
0.0000E+00	8.0808E-02	0.0000E+00	0.0000E+00	-6.6597E-13	0.0000E+00
2.0202E-02	8.0808E-02	0.0000E+00	-1.7643E-13	-6.6607E-13	0.0000E+00
4.0404E-02	8.0808E-02	0.0000E+00	-3.4903E-13	-6.6638E-13	0.0000E+00
6.0606E-02	8.0808E-02	0.0000E+00	-5.1396E-13	-6.6687E-13	0.0000E+00
8.0808E-02	8.0808E-02	0.0000E+00	-6.6756E-13	-6.6756E-13	0.0000E+00
1.0101E-01	8.0808E-02	0.0000E+00	-8.0614E-13	-6.6841E-13	0.0000E+00
1.2121E-01	8.0808E-02	0.0000E+00	-9.2653E-13	-6.6938E-13	0.0000E+00
1.4141E-01	8.0808E-02	0.0000E+00	-1.0259E-12	-6.7043E-13	0.0000E+00
1.6162E-01	8.0808E-02	0.0000E+00	-1.1038E-12	-6.7154E-13	0.0000E+00
1.8182E-01	8.0808E-02	0.0000E+00	-1.1602E-12	-6.7266E-13	0.0000E+00
2.0202E-01	8.0808E-02	0.0000E+00	-1.1952E-12	-6.7376E-13	0.0000E+00
2.2222E-01	8.0808E-02	0.0000E+00	-1.2091E-12	-6.7484E-13	0.0000E+00
2.4242E-01	8.0808E-02	0.0000E+00	-1.2025E-12	-6.7586E-13	0.0000E+00
2.6263E-01	8.0808E-02	0.0000E+00	-1.1765E-12	-6.7677E-13	0.0000E+00
2.8283E-01	8.0808E-02	0.0000E+00	-1.1333E-12	-6.7757E-13	0.0000E+00
3.0303E-01	8.0808E-02	0.0000E+00	-1.0756E-12	-6.7823E-13	0.0000E+00
3.2323E-01	8.0808E-02	0.0000E+00	-1.0061E-12	-6.7873E-13	0.0000E+00
3.4343E-01	8.0808E-02	0.0000E+00	-9.2762E-13	-6.7908E-13	0.0000E+00
3.6364E-01	8.0808E-02	0.0000E+00	-8.4281E-13	-6.7928E-13	0.0000E+00
3.8384E-01	8.0808E-02	0.0000E+00	-7.5423E-13	-6.7934E-13	0.0000E+00
4.0404E-01	8.0808E-02	0.0000E+00	-6.6417E-13	-6.7927E-13	0.0000E+00
4.2424E-01	8.0808E-02	0.0000E+00	-5.7481E-13	-6.7909E-13	0.0000E+00
